"","inspection_num","boro","grade","score","cuisine_description","violation_description","inspection_date"
"823",53980,"Manhattan","B",27,"Chicken","Food Protection Certificate not held by supervisor of food operations.",2015-06-11
"824",143063,"Brooklyn","A",12,"Pizza/Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-06-19
"825",109072,"Brooklyn","B",25,"Caribbean","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-02-16
"826",8277,"Manhattan","B",15,"Japanese","Proper sanitization not provided for utensil ware washing operation.",2016-01-26
"827",151467,"Brooklyn","A",12,"Mexican","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-06-20
"828",127477,"Brooklyn","A",10,"American","Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.",2017-03-21
"829",149365,"Brooklyn","B",16,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2014-09-11
"830",130289,"Brooklyn","A",8,"Hamburgers","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2014-12-09
"831",124003,"Brooklyn","A",11,"Mexican","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-08-04
"832",43406,"Manhattan","A",13,"Mediterranean","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2017-04-24
"833",5048,"Manhattan","A",11,"Chinese","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2014-12-23
"834",153196,"Queens","A",11,"Hamburgers","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-01-20
"835",5162,"Manhattan","B",23,"American","Food Protection Certificate not held by supervisor of food operations.",2016-06-17
"836",60126,"Manhattan","A",12,"Mexican","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",2016-05-03
"837",11895,"Manhattan","A",10,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-04-24
"838",48760,"Manhattan","A",10,"Japanese","Proper sanitization not provided for utensil ware washing operation.",2014-03-26
"839",86218,"Bronx","A",10,"Mexican","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-06-07
"840",51279,"Manhattan","A",7,"American","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2016-06-08
"841",72717,"Manhattan","A",4,"Not Listed/Not Applicable","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-09-20
"842",128297,"Brooklyn","A",13,"American","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2017-05-24
"843",123647,"Brooklyn","A",7,"Bagels/Pretzels","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-09-13
"844",180097,"Queens","A",12,"Caribbean","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-04-21
"845",29679,"Manhattan","A",11,"English","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-25
"846",125936,"Brooklyn","A",7,"Chinese","Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65º F or above within 2 hours.",2014-03-12
"847",173544,"Queens","B",23,"American","Hot food item not held at or above 140º F.",2014-06-28
"848",109333,"Brooklyn","A",13,"Caribbean","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2014-12-11
"849",45904,"Manhattan","A",13,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-07-26
"850",76778,"Staten Island","A",9,"Pizza/Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-08-09
"851",188006,"Queens","A",7,"American","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2014-08-14
"852",41268,"Manhattan","A",7,"Hamburgers","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-08-24
"853",5943,"Manhattan","A",12,"Pizza/Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-08-22
"854",26902,"Manhattan","A",4,"Juice, Smoothies, Fruit Salads","Accurate thermometer not provided in refrigerated or hot holding equipment.",2015-10-06
"855",164205,"Queens","A",11,"American","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2017-09-14
"856",97784,"Bronx","A",9,"Pizza","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-01-22
"857",26853,"Manhattan","A",9,"Japanese","Canned food product observed dented and not segregated from other consumable food items.",2016-05-26
"858",92193,"Bronx","A",5,"Mexican","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-11-19
"859",158392,"Queens","A",11,"Donuts","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-07-08
"860",157219,"Queens","A",13,"Italian","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",2015-06-18
"861",17584,"Manhattan","A",7,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-02-07
"862",117302,"Brooklyn","B",14,"American","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2015-12-04
"863",53471,"Manhattan","A",2,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-05-07
"864",183599,"Queens","B",15,"Pizza","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",2014-11-26
"865",68019,"Manhattan","C",46,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-10-23
"866",90861,"Bronx","A",11,"American","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-09-27
"867",159732,"Queens","A",13,"Chinese","Thawing procedures improper.",2016-04-04
"868",182839,"Queens","A",12,"Café/Coffee/Tea","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2015-12-03
"869",11837,"Manhattan","A",9,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-01
"870",143684,"Brooklyn","A",7,"Bakery","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2016-04-25
"871",140635,"Brooklyn","A",13,"Italian","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2017-08-02
"872",129227,"Brooklyn","A",2,"Pizza","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-09-17
"873",6638,"Manhattan","A",5,"Ice Cream, Gelato, Yogurt, Ices","Evidence of mice or live mice present in facility's food and/or non-food areas.",2015-10-06
"874",43425,"Manhattan","A",13,"American","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2015-05-11
"875",82397,"Bronx","B",17,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Live roaches present in facility's food and/or non-food areas.",2014-12-22
"876",8781,"Manhattan","B",15,"American","Wiping cloths soiled or not stored in sanitizing solution.",2015-04-28
"877",260,"Manhattan","A",12,"American","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-03-30
"878",138275,"Brooklyn","A",13,"Indian","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-02-18
"879",21980,"Manhattan","A",13,"American","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-06-06
"880",117905,"Brooklyn","B",20,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-08-13
"881",95253,"Bronx","A",7,"Mexican","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2015-05-13
"882",146238,"Brooklyn","A",7,"Other","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-05-31
"883",48514,"Manhattan","B",25,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2014-06-27
"884",84226,"Bronx","A",12,"Japanese","Proper sanitization not provided for utensil ware washing operation.",2015-04-13
"885",2864,"Manhattan","C",29,"Asian","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-06-14
"886",24857,"Manhattan","A",12,"Indian","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2017-06-07
"887",59735,"Manhattan","C",32,"Spanish","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-07-09
"888",127665,"Brooklyn","B",17,"Pizza/Italian","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-06-14
"889",134653,"Brooklyn","A",10,"Café/Coffee/Tea","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-12-15
"890",38493,"Manhattan","A",11,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2017-03-06
"891",52433,"Manhattan","A",10,"Japanese","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-02-06
"892",92921,"Bronx","B",17,"American","Food Protection Certificate not held by supervisor of food operations.",2014-11-13
"893",146065,"Brooklyn","A",7,"Mexican","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-11-06
"894",100167,"Queens","A",10,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-08-29
"895",151243,"Brooklyn","A",9,"American","''''Wash hands sign not posted at hand wash facility.",2016-05-24
"896",181226,"Queens","A",13,"Chinese","Live roaches present in facility's food and/or non-food areas.",2017-08-03
"897",138375,"Brooklyn","B",24,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-06-15
"898",139287,"Brooklyn","A",5,"Chicken","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-08-14
"899",126651,"Brooklyn","A",13,"Donuts","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-02-08
"900",138045,"Brooklyn","A",11,"Caribbean","Hot food item not held at or above 140º F.",2014-12-31
"901",110856,"Brooklyn","A",10,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-09-12
"902",103936,"Queens","A",13,"American","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-09-23
"903",147172,"Brooklyn","A",6,"Hamburgers","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-04
"904",79293,"Staten Island","A",12,"German","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",2016-12-14
"905",4576,"Manhattan","A",11,"Steak","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2016-03-07
"906",79605,"Staten Island","A",12,"Japanese","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",2014-03-13
"907",24130,"Manhattan","A",10,"American","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-07-19
"908",61947,"Manhattan","A",6,"Donuts","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-03-30
"909",64993,"Manhattan","A",10,"Soups & Sandwiches","Evidence of mice or live mice present in facility's food and/or non-food areas.",2017-09-01
"910",100513,"Queens","A",9,"American","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2014-10-30
"911",6338,"Manhattan","B",14,"Chinese","Live roaches present in facility's food and/or non-food areas.",2016-10-21
"912",95535,"Bronx","A",11,"Caribbean","Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",2017-04-13
"913",35017,"Manhattan","A",8,"Indian","Evidence of mice or live mice present in facility's food and/or non-food areas.",2015-07-23
"914",35174,"Manhattan","A",11,"American","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-10-06
"915",64661,"Manhattan","A",5,"Café/Coffee/Tea","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",2016-02-04
"916",49952,"Manhattan","A",11,"American","Food contact surface not properly maintained.",2014-11-06
"917",161144,"Queens","A",12,"Donuts","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2014-03-13
"918",142968,"Brooklyn","B",15,"Mexican","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-12-08
"919",51818,"Manhattan","A",7,"Chicken","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-05-10
"920",157032,"Queens","A",11,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-09-04
"921",4057,"Manhattan","A",12,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2015-02-23
"922",26143,"Manhattan","A",9,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-04-17
"923",82857,"Bronx","A",5,"Seafood","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-10-24
"924",85844,"Bronx","A",9,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Hot food item not held at or above 140º F.",2014-11-10
"925",72634,"Manhattan","A",5,"American","Accurate thermometer not provided in refrigerated or hot holding equipment.",2016-03-15
"926",78676,"Staten Island","A",12,"Bagels/Pretzels","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2014-06-24
"927",109321,"Brooklyn","A",13,"Caribbean","Food contact surface not properly maintained.",2016-07-20
"928",36661,"Manhattan","A",9,"American","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2015-07-31
"929",181824,"Queens","A",12,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Proper sanitization not provided for utensil ware washing operation.",2015-11-15
"930",172267,"Queens","A",12,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-06-22
"931",87155,"Bronx","C",37,"Pizza/Italian","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2015-04-28
"932",68597,"Manhattan","A",10,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-04-01
"933",39175,"Manhattan","A",12,"Irish","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2017-01-23
"934",7617,"Manhattan","B",19,"French","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2014-12-10
"935",114317,"Brooklyn","A",13,"Chinese","Hot food item not held at or above 140º F.",2017-04-28
"936",51516,"Manhattan","A",12,"Mexican","Evidence of mice or live mice present in facility's food and/or non-food areas.",2014-11-25
"937",108650,"Brooklyn","C",2,"Pizza","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-10-21
"938",35320,"Manhattan","B",26,"American","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2015-07-20
"939",60800,"Manhattan","A",11,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2015-12-15
"940",137225,"Brooklyn","A",11,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-01-20
"941",127700,"Brooklyn","A",10,"American","Food Protection Certificate not held by supervisor of food operations.",2015-01-07
"942",143007,"Brooklyn","A",7,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-10-24
"943",74773,"Manhattan","A",0,"American",NA,2017-05-26
"944",62294,"Manhattan","A",11,"Tex-Mex","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-08-20
"945",61320,"Manhattan","A",13,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Hot food item not held at or above 140º F.",2017-02-28
"946",21191,"Manhattan","A",13,"Ice Cream, Gelato, Yogurt, Ices","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2017-06-01
"947",111448,"Brooklyn","A",13,"Pizza/Italian","Evidence of mice or live mice present in facility's food and/or non-food areas.",2017-04-12
"948",113846,"Brooklyn","A",11,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-08-04
"949",37123,"Manhattan","A",9,"Steak","Hot food item not held at or above 140º F.",2014-12-24
"950",78885,"Staten Island","A",11,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-05-23
"951",136623,"Brooklyn","C",3,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-07-27
"952",102176,"Queens","A",5,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-11-23
"953",68663,"Manhattan","A",12,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-07-31
"954",97038,"Bronx","A",12,"Donuts","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-07-08
"955",34854,"Manhattan","A",11,"American","Evidence of mice or live mice present in facility's food and/or non-food areas.",2014-12-15
"956",53260,"Manhattan","A",12,"Chinese","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-08-05
"957",16519,"Manhattan","A",8,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-11-24
"958",94015,"Bronx","B",21,"Spanish","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2014-08-26
"959",24354,"Manhattan","A",12,"Korean","Hot food item not held at or above 140º F.",2016-12-21
"960",10579,"Manhattan","A",12,"American","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2014-11-05
"961",133327,"Brooklyn","A",2,"Café/Coffee/Tea","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-03-16
"962",93783,"Bronx","A",7,"Pizza","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-03-04
"963",83660,"Bronx","A",9,"Hamburgers","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-02-02
"964",176275,"Queens","A",10,"Creole","Hot food item not held at or above 140º F.",2017-05-09
"965",145139,"Brooklyn","A",9,"Peruvian","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-11-19
"966",76695,"Staten Island","C",30,"Greek","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2016-04-12
"967",112288,"Brooklyn","A",7,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-10-25
"968",60148,"Manhattan","A",4,"Mexican","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-06-28
"969",103323,"Queens","A",9,"Korean","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-04-08
"970",34188,"Manhattan","B",18,"American","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2014-08-25
"971",75593,"Staten Island","A",7,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2016-08-09
"972",175219,"Queens","A",10,"American","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2014-10-21
"973",65669,"Manhattan","A",8,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-06-08
"974",187007,"Queens","A",11,"American","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2014-12-23
"975",44529,"Manhattan","A",7,"Italian","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2015-04-02
"976",186852,"Queens","A",13,"Pizza","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-03-20
"977",131098,"Brooklyn","A",7,"Bakery","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-04-18
"978",82513,"Bronx","A",11,"Mexican","Evidence of mice or live mice present in facility's food and/or non-food areas.",2017-09-28
"979",80145,"Staten Island","A",8,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-11-08
"980",46233,"Manhattan","A",13,"Mediterranean","Proper sanitization not provided for utensil ware washing operation.",2016-11-21
"981",102631,"Queens","A",0,"Irish",NA,2017-06-27
"982",4262,"Manhattan","A",10,"Asian","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2015-08-06
"983",157232,"Queens","A",10,"American","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-09-08
"984",121676,"Brooklyn","A",9,"Caribbean","Hot food item not held at or above 140º F.",2017-03-17
"985",129175,"Brooklyn","A",9,"Mexican","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-02-01
"986",45490,"Manhattan","A",12,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-01-10
"987",78684,"Staten Island","A",11,"American","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2013-11-06
"988",52027,"Manhattan","A",7,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-03-23
"989",63183,"Manhattan","A",9,"Bakery","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-05-20
