"","X1","inspection_num","boro","grade","score","cuisine_description","violation_description","inspection_date"
"230",148510,148510,"Brooklyn","A",11,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-07-13
"231",125693,125693,"Brooklyn","A",13,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-12-21
"232",84118,84118,"Bronx","A",13,"Peruvian","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-09-12
"233",99288,99288,"Queens","C",40,"Armenian","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-02-15
"234",134017,134017,"Brooklyn","A",11,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-04-04
"235",168587,168591,"Queens","A",11,"American","Single service item reused, improperly stored, dispensed; not used when required.",2015-10-27
"236",157674,157678,"Queens","A",13,"Chicken","Food Protection Certificate not held by supervisor of food operations.",2015-11-05
"237",146444,146444,"Brooklyn","C",29,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-09-02
"238",139424,139424,"Brooklyn","A",13,"Caribbean","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-09-11
"239",78204,78204,"Staten Island","A",13,"Delicatessen","Food contact surface not properly maintained.",2017-09-07
"240",5444,5444,"Manhattan","A",7,"American","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-08-03
"241",18406,18406,"Manhattan","A",13,"Salads","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2015-06-08
"242",8004,8004,"Manhattan","A",9,"Bangladeshi","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-12-05
"243",144095,144095,"Brooklyn","B",27,"Soul Food","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",2014-12-12
"244",68576,68576,"Manhattan","B",24,"Seafood","Evidence of mice or live mice present in facility's food and/or non-food areas.",2017-06-16
"245",48748,48748,"Manhattan","A",7,"American","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2015-12-28
"246",113716,113716,"Brooklyn","A",12,"Chicken","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-07-10
"247",115224,115224,"Brooklyn","A",12,"Pizza","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-08-31
"248",144875,144875,"Brooklyn","B",16,"Seafood","Live roaches present in facility's food and/or non-food areas.",2015-04-04
"249",183412,183416,"Queens","A",12,"Ice Cream, Gelato, Yogurt, Ices","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-11-01
"250",80493,80493,"Staten Island","A",12,"Other","Single service item reused, improperly stored, dispensed; not used when required.",2017-09-19
"251",182987,182991,"Queens","A",12,"Salads","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2017-06-21
"252",155987,155991,"Queens","A",9,"Asian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-12-29
"253",80191,80191,"Staten Island","A",12,"Mexican","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2015-04-30
"254",173556,173560,"Queens","A",9,"Spanish","Hot food item not held at or above 140Âº F.",2014-09-26
"255",144705,144705,"Brooklyn","B",23,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-08-07
"256",45373,45373,"Manhattan","A",12,"Italian","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2015-07-08
"257",100016,100016,"Queens","A",13,"Chinese","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-08-04
"258",90382,90382,"Bronx","A",10,"American","Proper sanitization not provided for utensil ware washing operation.",2016-02-20
"259",30045,30045,"Manhattan","A",5,"Salads","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2016-10-21
"260",48745,48745,"Manhattan","A",8,"Asian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-06-22
"261",122589,122589,"Brooklyn","A",12,"Chinese","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2017-05-22
"262",84297,84297,"Bronx","B",25,"Pizza","Hot food item not held at or above 140Âº F.",2014-05-05
"263",27288,27288,"Manhattan","A",12,"Italian","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2015-11-12
"264",102880,102880,"Queens","A",4,"Hamburgers","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",2015-07-08
"265",16413,16413,"Manhattan","A",12,"Thai","Evidence of mice or live mice present in facility's food and/or non-food areas.",2014-09-17
"266",60115,60115,"Manhattan","B",24,"Italian","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2016-09-07
"267",106205,106205,"Brooklyn","A",11,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",2017-08-18
"268",90403,90403,"Bronx","A",8,"Italian","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-03-02
"269",132486,132486,"Brooklyn","A",9,"Chinese","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-06-06
"270",176373,176377,"Queens","A",13,"Caribbean","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2016-12-23
"271",18397,18397,"Manhattan","B",16,"Barbecue","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-08-24
"272",31521,31521,"Manhattan","A",12,"CafÃ©/Coffee/Tea","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-01-13
"273",87069,87069,"Bronx","A",5,"Pizza","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-04-23
"274",95865,95865,"Bronx","A",12,"Italian","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2017-08-16
"275",8562,8562,"Manhattan","A",12,"Seafood","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-10-21
"276",11280,11280,"Manhattan","A",11,"Mexican","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-12-28
"277",176535,176539,"Queens","A",12,"Pizza/Italian","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",2016-11-22
"278",38865,38865,"Manhattan","A",13,"CafÃ©/Coffee/Tea","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-11-05
"279",154254,154258,"Queens","C",29,"Asian","Hot food item not held at or above 140Âº F.",2015-03-19
"280",25897,25897,"Manhattan","B",22,"Chinese","Hot food item not held at or above 140Âº F.",2016-06-28
"281",39625,39625,"Manhattan","A",13,"Mexican","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-08-14
"282",159854,159858,"Queens","A",10,"Pizza/Italian","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2016-06-01
"283",11939,11939,"Manhattan","A",2,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-05-11
"284",35173,35173,"Manhattan","A",10,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-08-23
"285",33651,33651,"Manhattan","A",9,"Korean","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-10-13
"286",4163,4163,"Manhattan","A",8,"Chinese","Food contact surface not properly maintained.",2016-09-13
"287",175576,175580,"Queens","A",10,"Thai","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-04-07
"288",89926,89926,"Bronx","A",12,"Chicken","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-01-05
"289",79308,79308,"Staten Island","C",68,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2014-07-30
"290",81311,81311,"Bronx","B",24,"African","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-06-27
"291",30058,30058,"Manhattan","A",9,"French","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-04-15
"292",74476,74476,"Manhattan","A",10,"American","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-11-18
"293",175685,175689,"Queens","A",12,"Pizza","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2015-02-09
"294",169546,169550,"Queens","A",7,"Jewish/Kosher","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-06-07
"295",32345,32345,"Manhattan","A",11,"Ice Cream, Gelato, Yogurt, Ices","Thawing procedures improper.",2015-01-21
"296",146249,146249,"Brooklyn","A",12,"Russian","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-04-09
"297",126026,126026,"Brooklyn","A",7,"CafÃ©/Coffee/Tea","Food contact surface not properly maintained.",2015-04-15
"298",78961,78961,"Staten Island","A",7,"Italian","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-06-01
"299",111192,111192,"Brooklyn","A",12,"Pizza","Food Protection Certificate not held by supervisor of food operations.",2015-09-23
"300",92226,92226,"Bronx","A",9,"American","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2017-09-16
"301",83593,83593,"Bronx","A",12,"Spanish","''''Wash hands sign not posted at hand wash facility.",2014-12-10
"302",101850,101850,"Queens","A",9,"Greek","Food contact surface not properly maintained.",2017-03-06
"303",21913,21913,"Manhattan","A",5,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-01-23
"304",154248,154252,"Queens","A",9,"Korean","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-10-03
"305",140462,140462,"Brooklyn","B",22,"Pizza/Italian","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-07-09
"306",184865,184869,"Queens","B",21,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-06-06
"307",100731,100731,"Queens","A",10,"American","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2017-05-17
"308",89277,89277,"Bronx","A",8,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-01-11
"309",98150,98150,"Bronx","C",45,"American","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",2015-07-09
"310",188077,188081,"Queens","A",12,"Delicatessen","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2016-03-21
"311",114652,114652,"Brooklyn","B",18,"Indian","Food contact surface not properly maintained.",2014-03-13
"312",182456,182460,"Queens","B",18,"Chinese","Single service item reused, improperly stored, dispensed; not used when required.",2015-07-09
"313",131335,131335,"Brooklyn","A",10,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-08-30
"314",90324,90324,"Bronx","A",9,"Pizza","Thawing procedures improper.",2017-05-11
"315",147568,147568,"Brooklyn","B",27,"Caribbean","Food Protection Certificate not held by supervisor of food operations.",2016-08-11
"316",151286,151287,"Brooklyn","A",13,"Thai","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-06-30
"317",27465,27465,"Manhattan","A",10,"American","Hot food item not held at or above 140Âº F.",2015-06-17
"318",29506,29506,"Manhattan","A",2,"Bagels/Pretzels","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-07-17
"319",47592,47592,"Manhattan","A",8,"Asian","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-06-22
"320",120378,120378,"Brooklyn","A",12,"Hamburgers","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-09-11
"321",38498,38498,"Manhattan","A",7,"American","Evidence of mice or live mice present in facility's food and/or non-food areas.",2013-12-27
"322",128713,128713,"Brooklyn","A",13,"American","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-10-27
"323",119251,119251,"Brooklyn","A",12,"American","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",2014-11-28
"324",181029,181033,"Queens","A",7,"Chinese","Wiping cloths soiled or not stored in sanitizing solution.",2017-03-09
"325",72652,72652,"Manhattan","A",12,"Mexican","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-11-09
"326",52499,52499,"Manhattan","A",5,"CafÃ©/Coffee/Tea","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-03-04
"327",160349,160353,"Queens","A",11,"Italian","Evidence of mice or live mice present in facility's food and/or non-food areas.",2014-10-07
"328",72850,72850,"Manhattan","A",10,"Donuts","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2014-06-19
"329",95285,95285,"Bronx","B",24,"Chicken","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-06-29
"330",73170,73170,"Manhattan","A",7,"Pizza/Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-03-17
"331",134734,134734,"Brooklyn","A",2,"Steak","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-05-26
"332",159591,159595,"Queens","A",9,"Japanese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-04-21
"333",6694,6694,"Manhattan","B",27,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-01-05
"334",152781,152785,"Queens","A",11,"Chinese","Evidence of rats or live rats present in facility's food and/or non-food areas.",2014-09-17
"335",179763,179767,"Queens","A",11,"Caribbean","Hot food item not held at or above 140Âº F.",2017-02-08
"336",161607,161611,"Queens","A",10,"Bakery","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2014-08-28
"337",140893,140893,"Brooklyn","A",13,"Bottled beverages, including water, sodas, juices, etc.","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-11
"338",51761,51761,"Manhattan","A",13,"CafÃ©/Coffee/Tea","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-02-03
"339",126857,126857,"Brooklyn","B",22,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-07-19
"340",171032,171036,"Queens","A",12,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2014-07-23
"341",27662,27662,"Manhattan","A",12,"Italian","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-08-28
"342",176010,176014,"Queens","A",9,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-06-08
"343",115061,115061,"Brooklyn","B",24,"Pizza","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-04-25
"344",28257,28257,"Manhattan","A",12,"Delicatessen","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-06-13
"345",37937,37937,"Manhattan","A",7,"American","''''Wash hands sign not posted at hand wash facility.",2013-12-27
"346",66097,66097,"Manhattan","A",4,"Irish","''''Wash hands sign not posted at hand wash facility.",2015-06-04
"347",26171,26171,"Manhattan","A",12,"CafÃ©/Coffee/Tea","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-09-20
"348",113289,113289,"Brooklyn","C",37,"American","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2017-02-24
"349",76439,76439,"Staten Island","A",13,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-12-07
"350",105827,105827,"Queens","A",9,"Japanese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-03-02
"351",59631,59631,"Manhattan","A",12,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-03-30
"352",175606,175610,"Queens","B",15,"Mexican","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-01-09
"353",20537,20537,"Manhattan","A",10,"Spanish","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-06-06
"354",386,386,"Manhattan","A",11,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-10-06
"355",69787,69787,"Manhattan","C",41,"Spanish","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-08-26
"356",24441,24441,"Manhattan","A",10,"French","Hot food item not held at or above 140Âº F.",2017-05-05
"357",125506,125506,"Brooklyn","A",13,"CafÃ©/Coffee/Tea","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-02-23
"358",152412,152416,"Queens","A",7,"Bakery","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-11-07
"359",55306,55306,"Manhattan","B",26,"American","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-12-20
"360",11112,11112,"Manhattan","A",12,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-12
"361",152529,152533,"Queens","C",31,"Chinese","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-08-06
"362",13643,13643,"Manhattan","A",7,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2014-10-20
"363",5883,5883,"Manhattan","A",11,"American","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2017-08-21
"364",152087,152091,"Queens","A",10,"Korean","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2016-03-16
"365",122675,122675,"Brooklyn","A",9,"Polish","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2017-06-29
"366",108906,108906,"Brooklyn","A",11,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-09-28
"367",95502,95502,"Bronx","A",12,"Caribbean","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2015-02-17
"368",67568,67568,"Manhattan","A",13,"Delicatessen","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-05-26
"369",31488,31488,"Manhattan","A",4,"Middle Eastern","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",2015-05-04
"370",75379,75379,"Staten Island","A",12,"Donuts","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-09-08
"371",82466,82466,"Bronx","A",12,"Soul Food","Live roaches present in facility's food and/or non-food areas.",2017-07-25
"372",23757,23757,"Manhattan","A",13,"Mediterranean","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-09-06
"373",84646,84646,"Bronx","A",13,"Pizza","Hot food item not held at or above 140Âº F.",2015-03-31
"374",95933,95933,"Bronx","A",7,"Spanish","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-04-20
"375",57462,57462,"Manhattan","B",22,"Thai","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-04-12
"376",105351,105351,"Queens","A",11,"Bangladeshi","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-11-23
"377",33511,33511,"Manhattan","A",7,"Asian","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-02-04
"378",132702,132702,"Brooklyn","A",12,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2014-12-01
"379",77597,77597,"Staten Island","A",9,"Spanish","Food contact surface not properly maintained.",2016-08-04
"380",35394,35394,"Manhattan","A",4,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2014-09-18
"381",21004,21004,"Manhattan","A",12,"Italian","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-01-20
"382",150411,150411,"Brooklyn","A",7,"Ice Cream, Gelato, Yogurt, Ices","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-05-27
"383",156465,156469,"Queens","A",7,"CafÃ©/Coffee/Tea","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-01-21
"384",40968,40968,"Manhattan","A",12,"Irish","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2015-10-02
"385",58666,58666,"Manhattan","A",6,"CafÃ©/Coffee/Tea","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-06-27
"386",56500,56500,"Manhattan","A",11,"American","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-04-21
"387",125763,125763,"Brooklyn","A",7,"Ice Cream, Gelato, Yogurt, Ices","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-04-04
"388",116384,116384,"Brooklyn","A",12,"Mexican","Food not cooked to required minimum temperature.",2017-04-24
